😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
👨🏾‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👨🏿‍⚕	ᎠᎦᎾᎦᏘ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏍᎦᏯ ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᏙᎯᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩🏻‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩🏼‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩🏽‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩🏾‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👩🏿‍⚕	ᎠᎦᎾᎦᏘ, ᎠᎦᎾᎦᏘ ᎠᏍᏕᎵᏍᎩ, ᎠᎨᏯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ, ᎠᎨᏯ ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᏧᎸᏫᏍᏓᏁᎯ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏕᎸᎯᏙᎯ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏙᎯ ᏃᏛᎿᏕᎬᎢ ᎤᎦᏎᏍᏗ
👨‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨🏻‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨🏼‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨🏽‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨🏾‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨🏿‍🎓	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᎶᏆᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩🏻‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩🏼‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩🏽‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩🏾‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👩🏿‍🎓	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᎶᏆᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᏍᏆᏗᏍᎩ, ᏗᏕᎶᏆᏍᎩ
👨‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👨🏻‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👨🏼‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👨🏽‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👨🏾‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👨🏿‍🏫	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᏕᏲᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏅᏫᏍᏗᏍᎩ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏄᎬᏫᏳᏒ ᏗᏕᏲᎲᏍᎦ, ᏗᏕᏲᎲᏍᎩ
👩‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ, ᎠᏓᏎᎮᎯ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᏗᏕᏲᎲᏍᎩ
👩🏻‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏓᏎᎮᎯ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᏕᏲᎲᏍᎩ
👩🏼‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏓᏎᎮᎯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᏗᏕᏲᎲᏍᎩ
👩🏽‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏎᎮᎯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᏗᏕᏲᎲᏍᎩ
👩🏾‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏎᎮᎯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᏗᏕᏲᎲᏍᎩ
👩🏿‍🏫	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏕᏲᎲᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏎᎮᎯ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏔᎾ ᏗᏕᏲᎲᏍᎩ, ᏗᏕᏲᎲᏍᎩ
👨‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👨🏻‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👨🏼‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👨🏽‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👨🏾‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👨🏿‍⚖	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ, ᎠᏍᎦᏯ ᏗᎫᎪᏗᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎧᎿᏩᏛᏍᏗ
👩‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👩🏻‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👩🏼‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👩🏽‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👩🏾‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👩🏿‍⚖	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎫᎪᏗᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᏗᎦᏛᏗ, ᏗᎫᎪᏗᏍᎩ
👨‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ, ᎠᏫᏒᏍᎩ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👨🏻‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎤᎾᏝᎾᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᎦᎶᎩᏍᎩ
👨🏼‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👨🏽‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👨🏾‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👨🏿‍🌾	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᏗᎦᎶᎩᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👩‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ, ᎠᏫᏒᏍᎩ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👩🏻‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎤᎾᏝᎾᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏗᎦᎶᎩᏍᎩ
👩🏼‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👩🏽‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👩🏾‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👩🏿‍🌾	ᎠᎨᏯ, ᎠᎨᏯ ᏗᎦᎶᎩᏍᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏫᏒᏍᎩ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎾᏝᎾᎢ, ᏗᎦᎶᎩᏍᎩ
👨‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ
👨🏻‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
👨🏼‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ
👨🏽‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ
👨🏾‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ
👨🏿‍🍳	ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᏓᏍᏓᏴᎲᏍᎦ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎣᎯᏍᏗ ᎠᏓᏍᏓᏴᎲᏍᎦ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
👩‍🍳	ᎠᎨᏯ, ᎠᎨᏯ ᏗᏓᏍᏓᏴᎲᏍᎩ, ᏗᏓᏍᏓᏴᎲᏍᎩ
