😀	gezicht, grijns, grijnzend gezicht
⛹🏼‍♂	bal, basketballer, basketballer: lichtgetinte huidskleur, lichtgetinte huidskleur, man
⛹🏽‍♂	bal, basketballer, basketballer: getinte huidskleur, getinte huidskleur, man
⛹🏾‍♂	bal, basketballer, basketballer: donkergetinte huidskleur, donkergetinte huidskleur, man
⛹🏿‍♂	bal, basketballer, basketballer: donkere huidskleur, donkere huidskleur, man
⛹‍♀	bal, basketbalster, vrouw
⛹🏻‍♀	bal, basketbalster, basketbalster: lichte huidskleur, lichte huidskleur, vrouw
⛹🏼‍♀	bal, basketbalster, basketbalster: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw
⛹🏽‍♀	bal, basketbalster, basketbalster: getinte huidskleur, getinte huidskleur, vrouw
⛹🏾‍♀	bal, basketbalster, basketbalster: donkergetinte huidskleur, donkergetinte huidskleur, vrouw
⛹🏿‍♀	bal, basketbalster, basketbalster: donkere huidskleur, donkere huidskleur, vrouw
🏋️	gewicht, gewichtheffer, heffer
🏋🏻	gewicht, gewichtheffer, gewichtheffer: lichte huidskleur, heffer, lichte huidskleur
🏋🏼	gewicht, gewichtheffer, gewichtheffer: lichtgetinte huidskleur, heffer, lichtgetinte huidskleur
🏋🏽	getinte huidskleur, gewicht, gewichtheffer, gewichtheffer: getinte huidskleur, heffer
🏋🏾	donkergetinte huidskleur, gewicht, gewichtheffer, gewichtheffer: donkergetinte huidskleur, heffer
🏋🏿	donkere huidskleur, gewicht, gewichtheffer, gewichtheffer: donkere huidskleur, heffer
🏋‍♂	gewichtheffen, man, mannelijke gewichtheffer
🏋🏻‍♂	gewichtheffen, lichte huidskleur, man, mannelijke gewichtheffer, mannelijke gewichtheffer: lichte huidskleur
🏋🏼‍♂	gewichtheffen, lichtgetinte huidskleur, man, mannelijke gewichtheffer, mannelijke gewichtheffer: lichtgetinte huidskleur
🏋🏽‍♂	getinte huidskleur, gewichtheffen, man, mannelijke gewichtheffer, mannelijke gewichtheffer: getinte huidskleur
🏋🏾‍♂	donkergetinte huidskleur, gewichtheffen, man, mannelijke gewichtheffer, mannelijke gewichtheffer: donkergetinte huidskleur
🏋🏿‍♂	donkere huidskleur, gewichtheffen, man, mannelijke gewichtheffer, mannelijke gewichtheffer: donkere huidskleur
🏋‍♀	gewichtheffen, vrouw, vrouwelijke gewichtheffer
🏋🏻‍♀	gewichtheffen, lichte huidskleur, vrouw, vrouwelijke gewichtheffer, vrouwelijke gewichtheffer: lichte huidskleur
🏋🏼‍♀	gewichtheffen, lichtgetinte huidskleur, vrouw, vrouwelijke gewichtheffer, vrouwelijke gewichtheffer: lichtgetinte huidskleur
🏋🏽‍♀	getinte huidskleur, gewichtheffen, vrouw, vrouwelijke gewichtheffer, vrouwelijke gewichtheffer: getinte huidskleur
🏋🏾‍♀	donkergetinte huidskleur, gewichtheffen, vrouw, vrouwelijke gewichtheffer, vrouwelijke gewichtheffer: donkergetinte huidskleur
🏋🏿‍♀	donkere huidskleur, gewichtheffen, vrouw, vrouwelijke gewichtheffer, vrouwelijke gewichtheffer: donkere huidskleur
🚴	fiets, fietsen, fietsende persoon, wielrennen, wielrenner
🚴🏻	fiets, fietsen, fietsende persoon, fietsende persoon: lichte huidskleur, lichte huidskleur, wielrennen, wielrenner
🚴🏼	fiets, fietsen, fietsende persoon, fietsende persoon: lichtgetinte huidskleur, lichtgetinte huidskleur, wielrennen, wielrenner
🚴🏽	fiets, fietsen, fietsende persoon, fietsende persoon: getinte huidskleur, getinte huidskleur, wielrennen, wielrenner
🚴🏾	donkergetinte huidskleur, fiets, fietsen, fietsende persoon, fietsende persoon: donkergetinte huidskleur, wielrennen, wielrenner
🚴🏿	donkere huidskleur, fiets, fietsen, fietsende persoon, fietsende persoon: donkere huidskleur, wielrennen, wielrenner
🚴‍♂	fiets, fietsen, fietsende man, man, wielrenner
🚴🏻‍♂	fiets, fietsen, fietsende man, fietsende man: lichte huidskleur, lichte huidskleur, man, wielrenner
🚴🏼‍♂	fiets, fietsen, fietsende man, fietsende man: lichtgetinte huidskleur, lichtgetinte huidskleur, man, wielrenner
🚴🏽‍♂	fiets, fietsen, fietsende man, fietsende man: getinte huidskleur, getinte huidskleur, man, wielrenner
🚴🏾‍♂	donkergetinte huidskleur, fiets, fietsen, fietsende man, fietsende man: donkergetinte huidskleur, man, wielrenner
🚴🏿‍♂	donkere huidskleur, fiets, fietsen, fietsende man, fietsende man: donkere huidskleur, man, wielrenner
🚴‍♀	fiets, fietsen, fietsende vrouw, vrouw, wielrenner
🚴🏻‍♀	fiets, fietsen, fietsende vrouw, fietsende vrouw: lichte huidskleur, lichte huidskleur, vrouw, wielrenner
🚴🏼‍♀	fiets, fietsen, fietsende vrouw, fietsende vrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, vrouw, wielrenner
🚴🏽‍♀	fiets, fietsen, fietsende vrouw, fietsende vrouw: getinte huidskleur, getinte huidskleur, vrouw, wielrenner
🚴🏾‍♀	donkergetinte huidskleur, fiets, fietsen, fietsende vrouw, fietsende vrouw: donkergetinte huidskleur, vrouw, wielrenner
🚴🏿‍♀	donkere huidskleur, fiets, fietsen, fietsende vrouw, fietsende vrouw: donkere huidskleur, vrouw, wielrenner
🚵	berg, fiets, fietsen, fietser, persoon op mountainbike, wielrenner
🚵🏻	berg, fiets, fietsen, fietser, lichte huidskleur, persoon op mountainbike, persoon op mountainbike: lichte huidskleur, wielrenner
🚵🏼	berg, fiets, fietsen, fietser, lichtgetinte huidskleur, persoon op mountainbike, persoon op mountainbike: lichtgetinte huidskleur, wielrenner
🚵🏽	berg, fiets, fietsen, fietser, getinte huidskleur, persoon op mountainbike, persoon op mountainbike: getinte huidskleur, wielrenner
🚵🏾	berg, donkergetinte huidskleur, fiets, fietsen, fietser, persoon op mountainbike, persoon op mountainbike: donkergetinte huidskleur, wielrenner
🚵🏿	berg, donkere huidskleur, fiets, fietsen, fietser, persoon op mountainbike, persoon op mountainbike: donkere huidskleur, wielrenner
🚵‍♂	berg, fiets, fietsen, fietser, man, man op mountainbike
🚵🏻‍♂	berg, fiets, fietsen, fietser, lichte huidskleur, man, man op mountainbike, man op mountainbike: lichte huidskleur
🚵🏼‍♂	berg, fiets, fietsen, fietser, lichtgetinte huidskleur, man, man op mountainbike, man op mountainbike: lichtgetinte huidskleur
🚵🏽‍♂	berg, fiets, fietsen, fietser, getinte huidskleur, man, man op mountainbike, man op mountainbike: getinte huidskleur
🚵🏾‍♂	berg, donkergetinte huidskleur, fiets, fietsen, fietser, man, man op mountainbike, man op mountainbike: donkergetinte huidskleur
🚵🏿‍♂	berg, donkere huidskleur, fiets, fietsen, fietser, man, man op mountainbike, man op mountainbike: donkere huidskleur
🚵‍♀	berg, biken, fiets, fietsen, fietser, vrouw, vrouw op mountainbike
🚵🏻‍♀	berg, biken, fiets, fietsen, fietser, lichte huidskleur, vrouw, vrouw op mountainbike, vrouw op mountainbike: lichte huidskleur
🚵🏼‍♀	berg, biken, fiets, fietsen, fietser, lichtgetinte huidskleur, vrouw, vrouw op mountainbike, vrouw op mountainbike: lichtgetinte huidskleur
🚵🏽‍♀	berg, biken, fiets, fietsen, fietser, getinte huidskleur, vrouw, vrouw op mountainbike, vrouw op mountainbike: getinte huidskleur
🚵🏾‍♀	berg, biken, donkergetinte huidskleur, fiets, fietsen, fietser, vrouw, vrouw op mountainbike, vrouw op mountainbike: donkergetinte huidskleur
🚵🏿‍♀	berg, biken, donkere huidskleur, fiets, fietsen, fietser, vrouw, vrouw op mountainbike, vrouw op mountainbike: donkere huidskleur
🤸	gymnastiek, persoon die een radslag doet, radslag
🤸🏻	gymnastiek, lichte huidskleur, persoon die een radslag doet, persoon die een radslag doet: lichte huidskleur, radslag
🤸🏼	gymnastiek, lichtgetinte huidskleur, persoon die een radslag doet, persoon die een radslag doet: lichtgetinte huidskleur, radslag
🤸🏽	getinte huidskleur, gymnastiek, persoon die een radslag doet, persoon die een radslag doet: getinte huidskleur, radslag
🤸🏾	donkergetinte huidskleur, gymnastiek, persoon die een radslag doet, persoon die een radslag doet: donkergetinte huidskleur, radslag
🤸🏿	donkere huidskleur, gymnastiek, persoon die een radslag doet, persoon die een radslag doet: donkere huidskleur, radslag
🤸‍♂	gymnastiek, man, man die een radslag doet, radslag
🤸🏻‍♂	gymnastiek, lichte huidskleur, man, man die een radslag doet, man die een radslag doet: lichte huidskleur, radslag
🤸🏼‍♂	gymnastiek, lichtgetinte huidskleur, man, man die een radslag doet, man die een radslag doet: lichtgetinte huidskleur, radslag
🤸🏽‍♂	getinte huidskleur, gymnastiek, man, man die een radslag doet, man die een radslag doet: getinte huidskleur, radslag
🤸🏾‍♂	donkergetinte huidskleur, gymnastiek, man, man die een radslag doet, man die een radslag doet: donkergetinte huidskleur, radslag
🤸🏿‍♂	donkere huidskleur, gymnastiek, man, man die een radslag doet, man die een radslag doet: donkere huidskleur, radslag
🤸‍♀	gymnastiek, radslag, vrouw, vrouw die een radslag doet
🤸🏻‍♀	gymnastiek, lichte huidskleur, radslag, vrouw, vrouw die een radslag doet, vrouw die een radslag doet: lichte huidskleur
🤸🏼‍♀	gymnastiek, lichtgetinte huidskleur, radslag, vrouw, vrouw die een radslag doet, vrouw die een radslag doet: lichtgetinte huidskleur
🤸🏽‍♀	getinte huidskleur, gymnastiek, radslag, vrouw, vrouw die een radslag doet, vrouw die een radslag doet: getinte huidskleur
🤸🏾‍♀	donkergetinte huidskleur, gymnastiek, radslag, vrouw, vrouw die een radslag doet, vrouw die een radslag doet: donkergetinte huidskleur
🤸🏿‍♀	donkere huidskleur, gymnastiek, radslag, vrouw, vrouw die een radslag doet, vrouw die een radslag doet: donkere huidskleur
🤼	personen die worstelen, worstelaar, worstelen
🤼‍♂	mannen, worstelen, worstelende mannen
🤼‍♀	vrouwen, worstelen, worstelende vrouwen
🤽	persoon die waterpolo speelt, polo, water
🤽🏻	lichte huidskleur, persoon die waterpolo speelt, persoon die waterpolo speelt: lichte huidskleur, polo, water
🤽🏼	lichtgetinte huidskleur, persoon die waterpolo speelt, persoon die waterpolo speelt: lichtgetinte huidskleur, polo, water
🤽🏽	getinte huidskleur, persoon die waterpolo speelt, persoon die waterpolo speelt: getinte huidskleur, polo, water
🤽🏾	donkergetinte huidskleur, persoon die waterpolo speelt, persoon die waterpolo speelt: donkergetinte huidskleur, polo, water
🤽🏿	donkere huidskleur, persoon die waterpolo speelt, persoon die waterpolo speelt: donkere huidskleur, polo, water
🤽‍♂	man, man die waterpolo speelt, waterpolo
🤽🏻‍♂	lichte huidskleur, man, man die waterpolo speelt, man die waterpolo speelt: lichte huidskleur, waterpolo
🤽🏼‍♂	lichtgetinte huidskleur, man, man die waterpolo speelt, man die waterpolo speelt: lichtgetinte huidskleur, waterpolo
🤽🏽‍♂	getinte huidskleur, man, man die waterpolo speelt, man die waterpolo speelt: getinte huidskleur, waterpolo
🤽🏾‍♂	donkergetinte huidskleur, man, man die waterpolo speelt, man die waterpolo speelt: donkergetinte huidskleur, waterpolo
🤽🏿‍♂	donkere huidskleur, man, man die waterpolo speelt, man die waterpolo speelt: donkere huidskleur, waterpolo
🤽‍♀	vrouw, vrouw die waterpolo speelt, waterpolo
🤽🏻‍♀	lichte huidskleur, vrouw, vrouw die waterpolo speelt, vrouw die waterpolo speelt: lichte huidskleur, waterpolo
🤽🏼‍♀	lichtgetinte huidskleur, vrouw, vrouw die waterpolo speelt, vrouw die waterpolo speelt: lichtgetinte huidskleur, waterpolo
🤽🏽‍♀	getinte huidskleur, vrouw, vrouw die waterpolo speelt, vrouw die waterpolo speelt: getinte huidskleur, waterpolo
🤽🏾‍♀	donkergetinte huidskleur, vrouw, vrouw die waterpolo speelt, vrouw die waterpolo speelt: donkergetinte huidskleur, waterpolo
🤽🏿‍♀	donkere huidskleur, vrouw, vrouw die waterpolo speelt, vrouw die waterpolo speelt: donkere huidskleur, waterpolo
🤾	bal, handbal, persoon die handbal speelt
🤾🏻	bal, handbal, lichte huidskleur, persoon die handbal speelt, persoon die handbal speelt: lichte huidskleur
🤾🏼	bal, handbal, lichtgetinte huidskleur, persoon die handbal speelt, persoon die handbal speelt: lichtgetinte huidskleur
🤾🏽	bal, getinte huidskleur, handbal, persoon die handbal speelt, persoon die handbal speelt: getinte huidskleur
🤾🏾	bal, donkergetinte huidskleur, handbal, persoon die handbal speelt, persoon die handbal speelt: donkergetinte huidskleur
🤾🏿	bal, donkere huidskleur, handbal, persoon die handbal speelt, persoon die handbal speelt: donkere huidskleur
🤾‍♂	handballen, man, man die handbal speelt
🤾🏻‍♂	handballen, lichte huidskleur, man, man die handbal speelt, man die handbal speelt: lichte huidskleur
🤾🏼‍♂	handballen, lichtgetinte huidskleur, man, man die handbal speelt, man die handbal speelt: lichtgetinte huidskleur
🤾🏽‍♂	getinte huidskleur, handballen, man, man die handbal speelt, man die handbal speelt: getinte huidskleur
🤾🏾‍♂	donkergetinte huidskleur, handballen, man, man die handbal speelt, man die handbal speelt: donkergetinte huidskleur
🤾🏿‍♂	donkere huidskleur, handballen, man, man die handbal speelt, man die handbal speelt: donkere huidskleur
🤾‍♀	handballen, vrouw, vrouw die handbal speelt
🤾🏻‍♀	handballen, lichte huidskleur, vrouw, vrouw die handbal speelt, vrouw die handbal speelt: lichte huidskleur
🤾🏼‍♀	handballen, lichtgetinte huidskleur, vrouw, vrouw die handbal speelt, vrouw die handbal speelt: lichtgetinte huidskleur
🤾🏽‍♀	getinte huidskleur, handballen, vrouw, vrouw die handbal speelt, vrouw die handbal speelt: getinte huidskleur
🤾🏾‍♀	donkergetinte huidskleur, handballen, vrouw, vrouw die handbal speelt, vrouw die handbal speelt: donkergetinte huidskleur
🤾🏿‍♀	donkere huidskleur, handballen, vrouw, vrouw die handbal speelt, vrouw die handbal speelt: donkere huidskleur
🤹	balans, jongleur, multitasken, persoon die jongleert, vaardigheid
🤹🏻	balans, jongleur, lichte huidskleur, multitasken, persoon die jongleert, persoon die jongleert: lichte huidskleur, vaardigheid
🤹🏼	balans, jongleur, lichtgetinte huidskleur, multitasken, persoon die jongleert, persoon die jongleert: lichtgetinte huidskleur, vaardigheid
🤹🏽	balans, getinte huidskleur, jongleur, multitasken, persoon die jongleert, persoon die jongleert: getinte huidskleur, vaardigheid
🤹🏾	balans, donkergetinte huidskleur, jongleur, multitasken, persoon die jongleert, persoon die jongleert: donkergetinte huidskleur, vaardigheid
🤹🏿	balans, donkere huidskleur, jongleur, multitasken, persoon die jongleert, persoon die jongleert: donkere huidskleur, vaardigheid
🤹‍♂	jongleren, man, man die jongleert, multitasken
🤹🏻‍♂	jongleren, lichte huidskleur, man, man die jongleert, man die jongleert: lichte huidskleur, multitasken
🤹🏼‍♂	jongleren, lichtgetinte huidskleur, man, man die jongleert, man die jongleert: lichtgetinte huidskleur, multitasken
🤹🏽‍♂	getinte huidskleur, jongleren, man, man die jongleert, man die jongleert: getinte huidskleur, multitasken
🤹🏾‍♂	donkergetinte huidskleur, jongleren, man, man die jongleert, man die jongleert: donkergetinte huidskleur, multitasken
🤹🏿‍♂	donkere huidskleur, jongleren, man, man die jongleert, man die jongleert: donkere huidskleur, multitasken
🤹‍♀	jongleren, multitasken, vrouw, vrouw die jongleert
🤹🏻‍♀	jongleren, lichte huidskleur, multitasken, vrouw, vrouw die jongleert, vrouw die jongleert: lichte huidskleur
🤹🏼‍♀	jongleren, lichtgetinte huidskleur, multitasken, vrouw, vrouw die jongleert, vrouw die jongleert: lichtgetinte huidskleur
🤹🏽‍♀	getinte huidskleur, jongleren, multitasken, vrouw, vrouw die jongleert, vrouw die jongleert: getinte huidskleur
🤹🏾‍♀	donkergetinte huidskleur, jongleren, multitasken, vrouw, vrouw die jongleert, vrouw die jongleert: donkergetinte huidskleur
🤹🏿‍♀	donkere huidskleur, jongleren, multitasken, vrouw, vrouw die jongleert, vrouw die jongleert: donkere huidskleur
🧘	meditatie, persoon in lotushouding, yoga
🧘🏻	lichte huidskleur, meditatie, persoon in lotushouding, persoon in lotushouding: lichte huidskleur, yoga
🧘🏼	lichtgetinte huidskleur, meditatie, persoon in lotushouding, persoon in lotushouding: lichtgetinte huidskleur, yoga
🧘🏽	getinte huidskleur, meditatie, persoon in lotushouding, persoon in lotushouding: getinte huidskleur, yoga
🧘🏾	donkergetinte huidskleur, meditatie, persoon in lotushouding, persoon in lotushouding: donkergetinte huidskleur, yoga
🧘🏿	donkere huidskleur, meditatie, persoon in lotushouding, persoon in lotushouding: donkere huidskleur, yoga
🧘‍♂	man in lotushouding, meditatie, yoga
🧘🏻‍♂	lichte huidskleur, man in lotushouding, man in lotushouding: lichte huidskleur, meditatie, yoga
🧘🏼‍♂	lichtgetinte huidskleur, man in lotushouding, man in lotushouding: lichtgetinte huidskleur, meditatie, yoga
🧘🏽‍♂	getinte huidskleur, man in lotushouding, man in lotushouding: getinte huidskleur, meditatie, yoga
🧘🏾‍♂	donkergetinte huidskleur, man in lotushouding, man in lotushouding: donkergetinte huidskleur, meditatie, yoga
🧘🏿‍♂	donkere huidskleur, man in lotushouding, man in lotushouding: donkere huidskleur, meditatie, yoga
🧘‍♀	meditatie, vrouw in lotushouding, yoga
🧘🏻‍♀	lichte huidskleur, meditatie, vrouw in lotushouding, vrouw in lotushouding: lichte huidskleur, yoga
🧘🏼‍♀	lichtgetinte huidskleur, meditatie, vrouw in lotushouding, vrouw in lotushouding: lichtgetinte huidskleur, yoga
🧘🏽‍♀	getinte huidskleur, meditatie, vrouw in lotushouding, vrouw in lotushouding: getinte huidskleur, yoga
🧘🏾‍♀	donkergetinte huidskleur, meditatie, vrouw in lotushouding, vrouw in lotushouding: donkergetinte huidskleur, yoga
🧘🏿‍♀	donkere huidskleur, meditatie, vrouw in lotushouding, vrouw in lotushouding: donkere huidskleur, yoga
🛀	bad, badkuip, persoon in badkuip
