😀	бет, ырсай, ырсайган бет
🧗🏽‍♂	альпинист, орточо, тоого чыгып жаткан эркек, тоого чыгып жаткан эркек: орточо
🧗🏾‍♂	альпинист, кара тору, тоого чыгып жаткан эркек, тоого чыгып жаткан эркек: кара тору
🧗🏿‍♂	альпинист, кара, тоого чыгып жаткан эркек, тоого чыгып жаткан эркек: кара
🧗‍♀	альпинист, тоого чыгып жаткан аял
🧗🏻‍♀	акжуумал, альпинист, тоого чыгып жаткан аял, тоого чыгып жаткан аял: акжуумал
🧗🏼‍♀	альпинист, буудай жүздүү, тоого чыгып жаткан аял, тоого чыгып жаткан аял: буудай жүздүү
🧗🏽‍♀	альпинист, орточо, тоого чыгып жаткан аял, тоого чыгып жаткан аял: орточо
🧗🏾‍♀	альпинист, кара тору, тоого чыгып жаткан аял, тоого чыгып жаткан аял: кара тору
🧗🏿‍♀	альпинист, кара, тоого чыгып жаткан аял, тоого чыгып жаткан аял: кара
🤺	адам, рапира, сайышуу, сайышуу боюнча спортчу, спорт
🏇	ат, ат чабыш, чабарман
🏇🏻	акжуумал, ат, ат чабыш, ат чабыш: акжуумал, чабарман
🏇🏼	ат, ат чабыш, ат чабыш: буудай жүздүү, буудай жүздүү, чабарман
🏇🏽	ат, ат чабыш, ат чабыш: орточо, орточо, чабарман
🏇🏾	ат, ат чабыш, ат чабыш: кара тору, кара тору, чабарман
🏇🏿	ат, ат чабыш, ат чабыш: кара, кара, чабарман
⛷️	кар, лыжа, лыжачы
🏂️	кар, лыжа, сноуборд, сноубордчу
🏂🏻	акжуумал, кар, лыжа, сноуборд, сноубордчу, сноубордчу: акжуумал
🏂🏼	буудай жүздүү, кар, лыжа, сноуборд, сноубордчу, сноубордчу: буудай жүздүү
🏂🏽	кар, лыжа, орточо, сноуборд, сноубордчу, сноубордчу: орточо
🏂🏾	кар, кара тору, лыжа, сноуборд, сноубордчу, сноубордчу: кара тору
🏂🏿	кар, кара, лыжа, сноуборд, сноубордчу, сноубордчу: кара
🏌️	гольф, гольф оюнчусу, топ
🏌🏻	акжуумал, гольф, гольф оюнчусу, гольф оюнчусу: акжуумал, топ
🏌🏼	буудай жүздүү, гольф, гольф оюнчусу, гольф оюнчусу: буудай жүздүү, топ
🏌🏽	гольф, гольф оюнчусу, гольф оюнчусу: орточо, орточо, топ
🏌🏾	гольф, гольф оюнчусу, гольф оюнчусу: кара тору, кара тору, топ
🏌🏿	гольф, гольф оюнчусу, гольф оюнчусу: кара, кара, топ
🏌‍♂	гольф, гольф ойноп жаткан эркек, эркек
🏌🏻‍♂	акжуумал, гольф, гольф ойноп жаткан эркек, гольф ойноп жаткан эркек: акжуумал, эркек
🏌🏼‍♂	буудай жүздүү, гольф, гольф ойноп жаткан эркек, гольф ойноп жаткан эркек: буудай жүздүү, эркек
🏌🏽‍♂	гольф, гольф ойноп жаткан эркек, гольф ойноп жаткан эркек: орточо, орточо, эркек
🏌🏾‍♂	гольф, гольф ойноп жаткан эркек, гольф ойноп жаткан эркек: кара тору, кара тору, эркек
🏌🏿‍♂	гольф, гольф ойноп жаткан эркек, гольф ойноп жаткан эркек: кара, кара, эркек
🏌‍♀	аял, гольф, гольф ойноп жаткан аял
🏌🏻‍♀	акжуумал, аял, гольф, гольф ойноп жаткан аял, гольф ойноп жаткан аял: акжуумал
🏌🏼‍♀	аял, буудай жүздүү, гольф, гольф ойноп жаткан аял, гольф ойноп жаткан аял: буудай жүздүү
🏌🏽‍♀	аял, гольф, гольф ойноп жаткан аял, гольф ойноп жаткан аял: орточо, орточо
🏌🏾‍♀	аял, гольф, гольф ойноп жаткан аял, гольф ойноп жаткан аял: кара тору, кара тору
🏌🏿‍♀	аял, гольф, гольф ойноп жаткан аял, гольф ойноп жаткан аял: кара, кара
🏄️	сёрфер, сёрфинг
🏄🏻	акжуумал, сёрфер, сёрфер: акжуумал, сёрфинг
🏄🏼	буудай жүздүү, сёрфер, сёрфер: буудай жүздүү, сёрфинг
